node   1  (   0,    0) (   3,    3) (   4,    4) (   2,    2) (   0,    0) (   0,    0) (   9,    0) (   0,    0) (  29,   12) (  40,    6)
          (  20,    6) (   0,    2) (  10,    0) (  10,    1) (  30,   13) (  40,   34) (  20,   42) (   0,   20) (  10,    0) (  10,    1)
          (  30,   13) (  40,   34) (  20,   42) (   0,   20) (  10,    0) (  10,    1) (  30,   13) (  40,   34) (  20,   42) (   0,   20)
          (  10,    0) (  10,    1) (  30,   13) (  40,   34) (  20,   42) (   0,   20) (  10,    0) (  10,    1) (  30,   13) (  40,   34)
          (  20,   42) (   0,   20) (  10,    0) (  10,    1) (  30,   13) (  40,   34) (  20,   42) (   0,   20) (  10,    0) (  10,    1)
          (  30,   13) (  40,   34) (  20,   42) (   0,   20) (  10,    0) (  10,    1) (  30,   13) (  40,   34) (  20,   42) (   0,   20)
          (  10,    0) (  10,    1) (  30,   13) (  40,   34) (  20,   42) (   0,   20) (  10,    0) (  10,    1) (  30,   13) (  40,   34)
          (  20,   42) (   0,   20) (  10,    0) (  10,    1) (  30,   13) (  40,   34) (  20,   42) (   0,   20) (  10,    0) (  10,    1)
          (  30,   13) (  40,   34) (  20,   42) (   0,   20) (  10,    0) (  10,    1) (  30,   13) (  40,   34) (  20,   42) (   0,   20)
          (  10,    0) (  10,    1) (  30,   13) (  40,   34) (  20,   42) (   0,   20) (  10,    0) (  10,    1) (  30,   13) (  40,   34)
          (  20,   42) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
